id;Arus (Ampere);Tegangan (Volt);gardu
1;10.6;125.7;2
2;90.3;31.0;2
3;66.7;31.5;2
4;88.0;34.1;2
5;189.3;146.4;2
6;172.5;120.1;2
7;21.2;13.2;2
8;9.5;123.6;2
9;155.8;171.2;2
10;130.5;179.2;2
11;159.9;25.0;2
12;193.2;144.8;2
13;97.1;121.1;2
14;62.9;187.4;2
15;137.9;26.5;2
16;116.7;132.3;2
17;168.5;82.5;2
18;190.8;25.5;2
19;134.6;61.4;2
20;42.4;57.9;2
21;23.1;145.0;2
22;200.0;116.6;2
23;197.6;155.6;2
24;192.5;51.4;2
25;156.8;157.2;2
26;66.4;26.4;2
27;49.3;129.5;2
28;78.1;25.3;2
29;8.5;135.9;2
30;163.8;78.6;2
31;57.9;170.7;2
32;72.5;193.3;2
33;120.1;160.7;2
34;169.3;62.6;2
35;15.0;19.3;2
36;181.4;177.9;2
37;75.4;118.6;2
38;28.0;3.9;2
39;146.0;96.2;2
40;67.0;53.6;2
41;174.8;190.5;2
42;70.7;147.8;2
43;34.3;149.9;2
44;142.9;23.2;2
45;46.9;130.9;2
46;45.1;114.5;2
47;124.0;98.8;2
48;181.0;140.1;2
49;33.8;72.2;2
50;83.9;38.1;2
51;29.1;74.6;2
52;53.7;116.8;2
53;143.2;107.9;2
54;58.9;150.8;2
55;40.9;104.2;2
56;20.4;83.3;2
57;142.2;54.3;2
58;107.0;95.2;2
59;163.8;8.4;2
60;18.8;150.4;2
61;143.5;192.7;2
62;96.7;138.7;2
63;80.9;34.7;2
64;169.6;67.8;2
65;80.0;179.2;2
66;19.0;43.1;2
67;2.2;148.7;2
68;40.0;45.7;2
69;18.1;144.4;2
70;34.7;131.7;2
71;62.4;177.4;2
72;143.3;100.3;2
73;27.9;165.5;2
74;51.7;2.6;2
75;101.8;132.9;2
76;168.3;50.8;2
77;194.0;59.0;2
78;45.5;91.8;2
79;126.0;190.2;2
80;117.5;85.9;2
81;68.2;162.8;2
82;166.1;67.2;2
83;183.0;103.4;2
84;190.3;49.4;2
85;88.5;180.6;2
86;51.3;171.6;2
87;20.8;110.9;2
88;70.7;22.5;2
89;88.2;14.5;2
90;175.5;131.6;2
91;19.9;191.1;2
92;114.9;139.3;2
93;50.0;73.3;2
94;81.4;183.4;2
95;85.1;162.9;2
96;150.2;194.2;2
97;13.6;101.1;2
98;26.4;97.5;2
99;84.9;151.6;2
100;179.4;141.4;2
101;116.7;167.5;2
102;130.3;4.6;2
103;149.0;123.6;2
104;49.7;182.7;2
105;40.8;108.4;2
106;191.8;130.8;2
107;17.8;120.6;2
108;57.8;77.3;2
109;188.5;156.4;2
110;101.4;191.5;2
111;52.4;161.5;2
112;88.3;141.8;2
113;22.2;17.4;2
114;38.9;129.1;2
115;91.0;52.8;2
116;25.6;196.7;2
117;132.8;190.5;2
118;40.1;27.8;2
119;173.2;56.0;2
120;129.6;136.4;2
121;145.8;39.5;2
122;97.9;10.0;2
123;108.6;101.3;2
124;57.3;104.6;2
125;169.2;94.4;2
126;187.4;118.3;2
127;42.9;40.1;2
128;83.0;16.1;2
129;98.5;117.5;2
130;106.3;189.4;2
131;0.0;124.2;2
132;97.6;22.1;2
133;7.5;120.5;2
134;107.6;32.6;2
135;118.4;82.9;2
136;104.5;64.6;2
137;6.2;15.6;2
138;169.5;89.9;2
139;69.8;148.3;2
140;195.9;190.8;2
141;133.3;143.5;2
142;41.2;33.7;2
143;96.7;157.1;2
144;183.8;74.6;2
145;174.0;72.2;2
146;112.2;149.5;2
147;99.4;176.9;2
148;9.6;46.1;2
149;134.6;106.0;2
150;87.1;124.0;2
151;69.6;173.5;2
152;93.6;145.9;2
153;120.3;118.7;2
154;104.8;63.1;2
155;154.0;183.4;2
156;14.3;74.1;2
157;8.1;5.7;2
158;10.7;35.1;2
159;3.9;130.8;2
160;1.4;64.5;2
161;100.7;114.3;2
162;127.1;186.6;2
163;129.3;184.0;2
164;50.1;99.1;2
165;152.8;165.8;2
166;69.1;34.0;2
167;97.1;155.9;2
168;173.4;61.0;2
169;88.6;154.3;2
170;133.1;173.0;2
171;166.6;192.8;2
172;136.1;136.8;2
173;148.3;152.5;2
174;188.3;150.7;2
175;99.5;184.0;2
176;31.9;192.0;2
177;195.5;67.8;2
178;88.7;22.4;2
179;27.0;115.1;2
180;171.8;4.5;2
181;116.1;117.5;2
182;103.7;157.7;2
183;99.6;136.5;2
184;103.3;116.2;2
185;56.8;11.6;2
186;49.7;144.6;2
187;21.5;23.2;2
188;46.3;165.8;2
189;80.4;19.3;2
190;116.4;114.2;2
191;182.3;5.4;2
192;100.7;31.0;2
193;134.9;178.9;2
194;154.0;170.8;2
195;115.4;7.5;2
196;5.2;161.9;2
197;139.8;173.0;2
198;168.4;30.7;2
199;39.9;38.4;2
200;124.4;14.5;2
201;101.1;120.2;2
202;77.4;172.8;2
203;133.0;23.1;2
204;162.5;104.9;2
205;15.3;107.5;2
206;6.5;49.4;2
207;83.0;46.1;2
208;53.4;143.5;2
209;162.6;186.9;2
210;28.9;171.4;2
211;64.6;126.6;2
212;104.1;46.9;2
213;104.5;102.1;2
214;125.7;53.3;2
215;143.2;99.1;2
216;147.2;95.7;2
217;70.6;120.5;2
218;54.7;134.7;2
219;161.9;192.5;2
220;146.9;197.6;2
221;110.1;164.6;2
222;172.5;163.0;2
223;140.2;148.6;2
224;151.3;56.8;2
225;123.0;52.8;2
226;103.0;83.6;2
227;154.7;113.9;2
228;57.3;73.1;2
229;83.8;193.3;2
230;11.6;48.8;2
231;37.0;55.6;2
232;176.6;176.7;2
233;58.9;175.9;2
234;0.2;61.1;2
235;183.5;50.5;2
236;136.2;137.2;2
237;10.6;74.3;2
238;193.1;150.4;2
239;121.7;135.0;2
240;158.4;11.6;2
241;126.3;87.2;2
242;152.4;167.6;2
243;165.6;133.6;2
244;78.6;15.4;2
245;192.8;78.0;2
246;93.0;137.4;2
247;107.2;166.7;2
248;81.1;2.9;2
249;17.0;83.5;2
250;144.2;88.3;2
251;176.3;191.0;2
252;149.4;110.8;2
253;149.7;128.7;2
254;173.3;42.2;2
255;195.3;137.9;2
256;161.3;139.7;2
257;189.8;163.2;2
258;74.3;182.0;2
259;68.3;186.1;2
260;129.6;5.1;2
261;153.7;116.4;2
262;16.3;171.3;2
263;76.9;29.3;2
264;25.3;176.9;2
265;184.5;166.6;2
266;147.8;121.0;2
267;54.4;107.8;2
268;172.4;114.8;2
269;55.1;43.5;2
270;100.0;155.3;2
271;39.6;106.5;2
272;89.8;150.3;2
273;183.9;69.1;2
274;52.5;130.7;2
275;149.3;24.3;2
276;69.5;135.4;2
277;40.0;66.7;2
278;45.1;71.7;2
279;27.2;90.9;2
280;54.5;15.8;2
281;104.7;138.6;2
282;180.9;93.6;2
283;149.4;27.3;2
284;61.7;196.9;2
285;178.2;121.8;2
286;165.6;7.3;2
287;194.0;69.0;2
288;8.2;92.5;2
289;180.6;108.4;2
290;183.3;165.5;2
291;26.9;153.6;2
292;128.6;145.8;2
293;4.3;174.2;2
294;23.5;8.3;2
295;67.4;105.9;2
296;158.0;157.3;2
297;20.0;165.8;2
298;185.6;54.9;2
299;137.0;99.9;2
300;33.5;13.3;2
301;182.3;47.7;2
302;195.7;174.6;2
303;90.6;70.0;2
304;1.0;94.8;2
305;99.8;140.0;2
306;92.6;110.1;2
307;17.2;86.4;2
308;189.0;152.0;2
309;33.1;184.6;2
310;72.5;173.7;2
311;127.3;32.3;2
312;15.1;23.8;2
313;157.8;191.2;2
314;24.7;192.4;2
315;59.3;96.8;2
316;119.3;164.3;2
317;16.5;160.2;2
318;183.5;55.7;2
319;106.8;97.8;2
320;131.5;72.1;2
321;153.8;133.1;2
322;78.8;127.2;2
323;11.3;166.7;2
324;9.5;2.4;2
325;130.0;128.3;2
326;188.6;156.0;2
327;104.6;120.9;2
328;89.7;129.9;2
329;187.5;174.5;2
330;153.9;87.9;2
331;17.4;50.9;2
332;93.0;141.2;2
333;58.4;61.7;2
334;12.1;127.9;2
